Region,R0 (CI),CAR (week 0) (CI),IFR (week 0) (CI),R current (CI),CAR current (CI),IFR current (CI),delta weeks
Mauritius,"6.3 (2.1, 17.3)","0.11 (0.02, 0.47)","0.0073 (0.0014, 0.0367)","4.2 (1.4, 15.7)","0.31 (0.05, 0.9)","0.0558 (0.0084, 0.2004)",3
Mexico,"3.1 (1.4, 10.4)","0.05 (0.01, 0.34)","0.0037 (0.0008, 0.0293)","2.9 (1.4, 6.1)","0.04 (0.0, 0.33)","0.0043 (0.0005, 0.0399)",5
Moldova,"6.4 (2.4, 15.6)","0.09 (0.02, 0.38)","0.0029 (0.0007, 0.0131)","3.5 (1.6, 10.1)","0.2 (0.05, 0.87)","0.0163 (0.0034, 0.0737)",4
Monaco,"5.0 (1.6, 14.1)","0.09 (0.02, 0.56)","0.0142 (0.0027, 0.099)","2.4 (0.6, 9.3)","0.23 (0.03, 1.04)","0.082 (0.0088, 0.4339)",3
Montenegro,"6.8 (2.6, 17.8)","0.11 (0.03, 0.46)","0.0083 (0.0016, 0.0403)","3.9 (1.4, 14.8)","0.31 (0.06, 0.94)","0.0582 (0.0095, 0.2206)",3
Morocco,"6.8 (2.5, 19.3)","0.09 (0.02, 0.45)","0.0027 (0.0006, 0.0143)","6.2 (2.3, 15.8)","0.24 (0.05, 0.82)","0.0256 (0.0053, 0.0915)",4
Netherlands,"5.3 (2.2, 15.2)","0.08 (0.02, 0.5)","0.0075 (0.0014, 0.0786)","3.7 (1.8, 7.7)","0.22 (0.04, 0.82)","0.0622 (0.0098, 0.3038)",5
New Zealand,"3.3 (1.5, 8.3)","0.03 (0.01, 0.28)","0.0015 (0.0003, 0.0128)","3.3 (1.5, 8.0)","0.03 (0.0, 0.61)","0.0019 (0.0, 0.0425)",5
Niger,"5.4 (1.8, 15.6)","0.09 (0.02, 0.44)","0.0067 (0.0013, 0.0405)","4.8 (1.7, 17.0)","0.2 (0.03, 0.88)","0.0299 (0.0031, 0.1661)",2
Nigeria,"6.0 (2.4, 14.5)","0.09 (0.03, 0.41)","0.0041 (0.001, 0.0188)","3.5 (1.4, 13.0)","0.2 (0.05, 0.69)","0.0198 (0.0043, 0.0759)",3
North Macedonia,"5.5 (2.3, 18.8)","0.06 (0.02, 0.39)","0.0035 (0.0008, 0.0228)","3.1 (1.5, 7.8)","0.15 (0.02, 0.87)","0.021 (0.0025, 0.1206)",4
Norway,"5.2 (2.2, 12.6)","0.06 (0.02, 0.3)","0.0041 (0.0008, 0.1567)","2.8 (1.4, 5.6)","0.25 (0.05, 0.81)","0.0628 (0.0094, 0.5068)",5
Oman,"2.6 (1.4, 6.5)","0.05 (0.01, 0.33)","0.0042 (0.001, 0.0307)","2.2 (1.2, 4.3)","0.04 (0.01, 0.39)","0.0057 (0.0007, 0.0608)",6
Pakistan,"3.5 (1.5, 8.7)","0.04 (0.01, 0.25)","0.0017 (0.0003, 0.011)","3.4 (1.6, 7.2)","0.07 (0.0, 0.57)","0.0064 (0.0002, 0.0556)",6
Panama,"5.8 (2.3, 14.3)","0.08 (0.02, 0.37)","0.0041 (0.001, 0.0206)","3.5 (1.5, 11.3)","0.19 (0.04, 0.79)","0.0264 (0.0053, 0.1149)",4
Paraguay,"3.6 (1.6, 9.4)","0.07 (0.02, 0.36)","0.007 (0.0016, 0.042)","2.2 (1.1, 7.3)","0.14 (0.02, 0.98)","0.0336 (0.0036, 0.2421)",4
Peru,"4.5 (1.8, 11.0)","0.06 (0.02, 0.33)","0.0026 (0.0007, 0.015)","3.3 (1.5, 7.5)","0.1 (0.02, 0.7)","0.0076 (0.0013, 0.0514)",4
